degradation,h1,sea_state,direction,n_draws,V,V_proposal,N_H,V_lo,V_hi,V_proposal_lo,V_proposal_hi,lift,lift_lo,lift_hi
0.5,0.5,2,nominal,40,0.7055,0.6655,3.0,0.67999375,0.731,0.6347375000000001,0.6932562499999999,1.0601051840721263,1.0347855522966805,1.088994712382904
0.5,0.5,3,nominal,40,0.701,0.66425,3.0,0.6769749999999999,0.7250125,0.6404937500000001,0.69000625,1.0553255551373728,1.0293073927801037,1.081651570552047
0.5,0.5,4,nominal,40,0.6994999999999999,0.6692500000000001,2.95,0.672,0.72850625,0.64524375,0.69275625,1.045199850579006,1.019879842292189,1.0706006388300378
0.5,0.5,5,nominal,40,0.6992499999999999,0.6595,2.975,0.6722499999999999,0.7265062499999999,0.63425,0.6830125,1.06027293404094,1.0353582408163757,1.0851567173605796
0.6,0.4,2,nominal,40,0.7115,0.6699999999999999,3.0,0.687,0.7370062500000001,0.64574375,0.69425625,1.0619402985074629,1.0382761985676217,1.08519720231759
0.6,0.4,3,nominal,40,0.71075,0.6737500000000001,2.95,0.6799812500000001,0.74050625,0.64999375,0.6975,1.054916512059369,1.0314297006135327,1.081347347691368
0.6,0.4,4,nominal,40,0.7255,0.6525000000000001,2.975,0.70025,0.75025,0.6299875,0.6765062500000001,1.1118773946360152,1.0779560378925284,1.1432557527700788
0.6,0.4,5,nominal,40,0.72875,0.65575,2.975,0.69824375,0.75825625,0.6254937500000001,0.6827500000000001,1.111322912695387,1.0867041133244182,1.1364696912471717
0.7,0.30000000000000004,2,nominal,40,0.713,0.6685,2.85,0.6849875,0.74450625,0.6417375,0.6980000000000001,1.0665669409124907,1.0341491118275388,1.0981916907767317
0.7,0.30000000000000004,3,nominal,40,0.69625,0.6705,2.85,0.6627375,0.7317562500000001,0.6467500000000002,0.69325,1.0384041759880687,1.0075639026214263,1.0681694385897236
0.7,0.30000000000000004,4,nominal,40,0.702,0.6675000000000001,2.85,0.6737249999999999,0.73200625,0.6442500000000001,0.6917562500000001,1.0516853932584267,1.0185312041064662,1.082744402159257
0.7,0.30000000000000004,5,nominal,40,0.6995,0.6529999999999999,2.775,0.6679937499999999,0.72876875,0.6244937500000001,0.6812625,1.0712098009188362,1.0432753913360029,1.0999307524087827
0.8,0.19999999999999996,2,nominal,40,0.725,0.66725,2.975,0.6844937500000001,0.7642812499999999,0.6355000000000001,0.69900625,1.0865492693892844,1.054069573624029,1.115976002582682
0.8,0.19999999999999996,3,nominal,40,0.72275,0.64775,2.975,0.6797375,0.76700625,0.61825,0.67500625,1.115785411038209,1.073512252042007,1.1534159346641966
0.8,0.19999999999999996,4,nominal,40,0.7262500000000001,0.66225,2.95,0.68975,0.76300625,0.63074375,0.6920062499999999,1.096640241600604,1.0642428036029226,1.1298420134327483
0.8,0.19999999999999996,5,nominal,40,0.7185,0.66125,2.95,0.67749375,0.75850625,0.6365000000000001,0.6855,1.086578449905482,1.0492181195279786,1.1215830935658553
0.9,0.09999999999999998,2,nominal,40,0.73525,0.65825,3.0,0.6977375,0.77825625,0.6365000000000001,0.6815125,1.1169768325104443,1.0748749357179388,1.160514221750395
0.9,0.09999999999999998,3,nominal,40,0.72975,0.6447499999999999,3.0,0.6909937500000001,0.7685062500000001,0.61624375,0.67400625,1.1318340442031796,1.0915480679425524,1.175280512204882
0.9,0.09999999999999998,4,nominal,40,0.735,0.65325,3.0,0.6989875000000001,0.77200625,0.6207437499999999,0.68175,1.1251435132032146,1.087696045622654,1.1633006731356408
0.9,0.09999999999999998,5,nominal,40,0.7314999999999999,0.6577500000000001,3.0,0.6972375000000001,0.7672625,0.6292375,0.68625,1.1121246674268337,1.0797711278947995,1.145624075710959
0.95,0.050000000000000044,2,nominal,40,0.38649999999999995,0.262,2.275,0.3325,0.44500625,0.20724375,0.31675,1.4751908396946563,1.3300677865646604,1.6822054878538955
0.95,0.050000000000000044,3,nominal,40,0.4154999999999999,0.26225,2.3,0.35175,0.47700000000000004,0.20522500000000002,0.31575,1.5843660629170637,1.423757179268349,1.7873921657096423
0.95,0.050000000000000044,4,nominal,40,0.4095000000000001,0.26575,2.45,0.34874375,0.4662562499999999,0.21074374999999998,0.3205125,1.540921919096896,1.4183837111385766,1.7101769937199789
0.95,0.050000000000000044,5,nominal,40,0.4307499999999999,0.27974999999999994,2.375,0.37347500000000006,0.48801875000000006,0.22499375000000002,0.3310375,1.5397676496872208,1.420172381344281,1.7056866168422775
1.0,0.0,2,nominal,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.0,0.0,3,nominal,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.0,0.0,4,nominal,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.0,0.0,5,nominal,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
